Id	BJ1	BJ2	BJ3	BJ4	BJ6	BJ5	BJ7	BJ8	BJ9	BJ10	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.CD1	norm.CD2	norm.CD3	norm.CD4	norm.CD5	norm.CD6	norm.CD7	norm.CD8	norm.CD9	norm.CD10	baseMean	Beijing	Chengde	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000328195	24	19	16	21	15	14	15	13	18	11	4	6	1	0	7	6	5	2	8	11	21	16	14	17	14	13	14	11	15	10	5	6	1	0	7	7	5	2	8	11	9.91	14	5	0.374	-1.421	-4.653	3.27739848830015e-06	1.77234848256523e-05	0.0122	0.5739	0.1049	0.1049	TRUE	0.3239
ENST00000580086	9	18	14	10	8	17	8	7	5	6	0	3	3	2	0	1	5	1	1	3	8	15	12	8	7	16	8	6	4	5	0	3	3	2	0	1	5	1	1	3	5.52	9	2	0.244	-2.034	-4.652	3.28006337661375e-06	1.77351973839727e-05	0.1134	0.7227	0.2008	0.2008	TRUE	0.2151
ENST00000484513	76	64	77	84	94	80	28	80	72	60	7	1	22	21	17	0	24	0	22	5	67	55	66	69	86	77	26	69	60	53	9	1	22	25	16	0	26	0	21	5	37.68	63	12	0.221	-2.175	-4.652	3.28780794361286e-06	1.7771664534753e-05	0.5658	0.4358	0.5473	0.5473	TRUE	0.3522
ENST00000361999	80	35	67	83	59	110	69	77	75	71	0	0	14	0	24	0	0	0	0	0	71	30	57	68	54	105	65	67	62	62	0	0	14	0	23	0	0	0	0	0	33.95	64	4	0.093	-3.43	-4.652	3.28981253023386e-06	1.77797958218539e-05	2.1435	0.4412	1.7139	1.7139	TRUE	5.5027
ENST00000492020	3	2	2	2	4	4	3	1	5	3	0	0	0	0	0	0	0	0	0	0	3	2	2	2	4	4	3	1	4	3	0	0	0	0	0	0	0	0	0	0	1.29	3	0	0.11	-3.184	-4.652	3.29289982537655e-06	1.7793775246143e-05	0	1.8298	0.3464	0.3464	TRUE	0.0508
ENST00000559929	18	28	27	15	25	24	16	10	17	25	15	5	4	3	4	8	3	2	4	6	16	24	23	12	23	23	15	9	14	22	20	5	4	4	4	9	3	2	4	6	12.12	18	6	0.34	-1.558	-4.651	3.29623657207521e-06	1.78090981714127e-05	0.1244	0.5396	0.1727	0.1727	TRUE	0.7913
ENST00000336454	6	10	8	12	10	10	11	6	7	4	1	2	1	1	3	1	2	1	2	3	5	9	7	10	9	10	10	5	6	4	1	2	1	1	3	1	2	1	2	3	4.6	8	2	0.262	-1.934	-4.651	3.29944590746704e-06	1.78237281579843e-05	0	0.7899	0.1044	0.1044	TRUE	0.0613
ENST00000580430	13	17	4	28	14	15	0	8	35	19	0	0	1	6	0	0	0	0	0	0	11	15	3	23	13	14	0	7	29	17	0	0	1	7	0	0	0	0	0	0	7.03	13	1	0.093	-3.43	-4.65	3.31631477802564e-06	1.79121317949896e-05	1.3232	0.6506	1.1405	1.1405	TRUE	1.2967
ENST00000266542	139	115	115	113	94	150	94	93	105	131	46	66	66	60	75	60	51	66	72	75	123	99	98	93	86	144	89	80	87	115	62	70	67	70	71	71	56	68	68	74	84.58	101	68	0.671	-0.576	-4.65	3.3202646336049e-06	1.79307407807807e-05	0.0132	0.4085	0.0249	0.0249	TRUE	0.212
ENST00000558481	1	3	5	2	2	9	3	3	4	4	0	0	0	0	1	0	0	0	0	0	1	3	4	2	2	9	3	3	3	4	0	0	0	0	1	0	0	0	0	0	1.65	3	0	0.109	-3.202	-4.65	3.32343497156909e-06	1.79424090672285e-05	0	1.5102	0.4053	0.4053	TRUE	0.5033
ENST00000581662	2	4	3	2	4	4	3	4	4	2	0	0	0	0	1	0	0	0	0	0	2	3	3	2	4	4	3	3	3	2	0	0	0	0	1	0	0	0	0	0	1.46	3	0	0.118	-3.087	-4.65	3.32311755356743e-06	1.79424090672285e-05	0	1.6562	0.2433	0.2433	TRUE	0.1329
ENST00000597026	5	15	12	14	21	12	0	14	11	24	1	0	1	1	5	0	1	2	4	3	4	13	10	12	19	11	0	12	9	21	1	0	1	1	5	0	1	2	4	3	6.52	11	2	0.191	-2.386	-4.649	3.32927591151753e-06	1.79712129245646e-05	0.3664	0.6714	0.4153	0.4153	TRUE	0.1259
ENST00000335016	9	11	13	6	14	18	15	10	13	3	0	0	3	0	8	0	0	0	1	0	8	9	11	5	13	17	14	9	11	3	0	0	3	0	8	0	0	0	1	0	5.57	10	1	0.152	-2.715	-4.649	3.33216788421892e-06	1.79840921192316e-05	0.4655	0.7199	0.5309	0.5309	TRUE	1.5196
ENST00000367927	76	199	94	152	153	79	82	94	81	79	15	42	52	64	50	29	39	36	49	51	67	171	80	125	141	76	77	81	67	69	20	45	53	75	47	34	43	37	46	51	70.31	95	45	0.478	-1.064	-4.649	3.33420458630566e-06	1.7992352110128e-05	0.0969	0.413	0.113	0.113	TRUE	0.2446
ENST00000477464	2	5	6	4	3	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	2	4	5	3	3	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	1.31	3	0	0.108	-3.209	-4.649	3.33803251575482e-06	1.80075403172323e-05	0	1.8008	0.385	0.385	TRUE	0.1412
ENST00000590282	7	14	5	6	9	7	2	2	8	8	1	0	0	0	1	0	0	1	1	2	6	12	4	5	8	7	2	2	7	7	1	0	0	0	1	0	0	1	1	2	3.3	6	1	0.137	-2.869	-4.649	3.33765504794736e-06	1.80075403172323e-05	0	0.9495	0.2504	0.2504	TRUE	0.1457
ENST00000380516	36	35	33	32	31	34	45	37	37	23	12	6	17	13	20	3	15	17	22	17	32	30	28	26	29	33	42	32	31	20	16	6	17	15	19	4	16	17	21	17	22.59	30	15	0.502	-0.996	-4.649	3.33977371333306e-06	1.80141990851202e-05	0.0181	0.4687	0.0628	0.0628	TRUE	0.2824
ENST00000524161	3	2	4	5	6	1	1	2	2	6	0	0	0	0	0	0	0	0	0	0	3	2	3	4	6	1	1	2	2	5	0	0	0	0	0	0	0	0	0	0	1.4	3	0	0.104	-3.266	-4.646	3.376757295202e-06	1.8210918705839e-05	0	1.7138	0.4742	0.4742	TRUE	0.0489
ENST00000447266	42	44	32	34	39	48	48	27	24	24	10	14	13	9	10	12	18	16	23	21	37	38	27	28	36	46	45	23	20	21	13	15	13	11	9	14	20	16	22	21	23.81	32	15	0.489	-1.033	-4.645	3.39729062988353e-06	1.83160966301669e-05	0.0468	0.4645	0.0739	0.0739	TRUE	0.0543
ENST00000598984	3	4	5	6	2	3	1	3	6	6	0	0	0	0	1	0	0	0	1	0	3	3	4	5	2	3	1	3	5	5	0	0	0	0	1	0	0	0	1	0	1.78	3	0	0.119	-3.075	-4.645	3.3978620389466e-06	1.83163987356533e-05	0	1.4268	0.2594	0.2594	TRUE	0.0857
