Id,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10,BJ1,BJ2,BJ3,BJ4,BJ5,BJ6,BJ7,BJ8,BJ9,BJ10
ENST00000331437,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,1,0,0,2,14
ENST00000520137,0,0,0,0,1,0,0,0,3,0,11,11,4,14,6,15,5,14,8,6
ENST00000257818,13,5,55,83,43,63,10,6,102,8,62,52,29,23,31,28,4,22,66,36
ENST00000584250,1,0,0,2,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0
ENST00000488729,0,0,0,0,0,0,0,0,0,10,1,0,7,5,2,1,2,1,3,3
ENST00000269980,1,6,12,6,12,9,8,14,11,6,10,9,8,12,9,6,4,7,11,13
ENST00000472204,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,3,1
ENST00000528718,57,86,100,73,108,86,78,75,108,81,61,65,73,69,57,62,44,95,77,118
ENST00000570802,1,3,3,2,4,1,2,3,4,3,7,9,6,9,7,6,4,11,12,13
ENST00000540447,0,0,0,0,0,0,0,0,0,0,3,3,2,4,0,4,3,2,3,4
ENST00000557260,0,0,0,0,1,0,0,1,2,0,0,0,2,1,2,1,0,0,0,0
ENST00000618006,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3
ENST00000483858,1,2,0,1,0,1,3,1,2,0,3,6,5,2,4,4,5,2,5,1
ENST00000553460,0,3,3,2,1,4,6,3,4,1,4,3,3,6,3,2,1,4,2,1
ENST00000345146,8,7,0,5,3,7,0,0,8,7,15,12,7,13,11,8,15,11,15,6
ENST00000567447,2,3,5,4,1,2,3,2,3,4,2,1,2,3,1,1,4,3,3,4
ENST00000495274,0,0,0,0,0,0,0,1,3,1,0,0,1,2,0,0,0,1,0,1
ENST00000558631,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,2,1,1,1,0
ENST00000585722,4,3,6,5,2,1,2,3,3,4,1,1,2,2,1,1,3,1,2,2
ENST00000491690,17,13,16,21,15,17,24,23,16,25,5,7,5,4,4,6,7,4,5,4
ENST00000338910,1,5,6,2,7,2,4,5,7,5,9,8,12,11,6,9,15,14,10,7
ENST00000360844,51,10,52,29,49,71,36,19,10,68,132,185,142,112,34,212,100,26,305,130
ENST00000467160,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
ENST00000369558,5,15,1,12,9,11,12,1,16,0,94,18,33,50,67,43,28,31,31,41
ENST00000412271,6,2,0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
ENST00000480159,7,17,21,13,37,10,11,12,17,23,28,26,32,22,23,33,14,26,53,76
ENST00000574828,0,0,0,0,0,0,0,0,0,0,1,2,1,3,4,3,3,1,1,1
ENST00000601016,2,3,5,1,2,1,2,2,7,0,2,2,1,3,2,3,1,2,3,4
ENST00000464100,34,13,29,31,52,55,30,49,15,86,24,20,4,8,36,11,4,4,4,5
ENST00000480499,12,21,25,18,42,14,16,34,45,46,38,44,47,47,53,49,45,29,55,134
ENST00000283943,17,19,21,20,23,23,27,22,23,28,7,10,12,5,9,9,0,0,11,6
ENST00000340870,2,2,2,1,4,2,3,3,4,4,8,7,5,6,9,7,10,7,12,10
ENST00000358369,8,1,6,1,0,3,7,1,2,3,3,3,0,4,4,2,1,8,7,13
ENST00000443799,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,4,3,2,4,3
ENST00000545375,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,1,1,1,0
ENST00000522677,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,1,1,0,0
ENST00000375440,0,1,0,0,0,0,0,0,2,2,11,11,9,16,6,11,9,8,10,7
ENST00000264914,2,3,0,1,3,2,1,2,1,1,5,3,4,3,6,3,9,4,7,4
ENST00000589744,0,1,0,0,4,0,1,1,0,0,14,11,11,13,11,17,8,12,12,5
ENST00000579082,1,1,1,0,2,0,3,1,1,1,0,0,1,0,0,0,1,0,0,1
ENST00000409644,0,1,1,0,0,0,0,0,1,0,1,1,2,2,1,0,1,1,1,0
ENST00000244227,0,1,0,0,2,1,1,1,2,2,6,3,8,10,4,8,11,5,6,7
ENST00000616305,0,1,0,1,2,0,0,0,1,2,11,16,13,12,7,10,8,5,7,9
ENST00000265081,0,0,1,0,2,0,1,1,1,1,3,3,3,6,5,5,4,3,3,2
ENST00000263168,86,172,146,46,280,15,183,160,204,215,430,369,366,432,475,432,213,279,259,216
ENST00000374213,0,43,109,4,29,0,5,115,277,215,3,36,46,57,16,25,68,33,63,1
ENST00000396862,2,2,1,1,1,0,0,1,0,3,1,0,1,1,1,0,2,2,0,0
ENST00000337387,2,4,4,3,10,3,5,3,8,9,30,29,21,35,50,27,23,23,17,18
ENST00000409030,113,100,17,11,90,73,76,39,93,123,157,132,73,141,92,53,97,79,59,54
ENST00000422351,1,0,0,1,1,0,0,0,0,0,2,2,2,2,1,1,2,1,2,1
ENST00000402708,0,0,1,0,0,5,0,0,0,0,5,0,0,0,0,2,0,0,3,4
ENST00000570306,1,0,1,3,1,1,2,2,1,1,0,0,0,1,0,0,0,0,1,0
ENST00000319285,3,2,5,3,1,4,8,4,8,5,1,2,2,2,2,2,2,3,2,3
ENST00000577875,0,0,0,0,1,0,1,0,0,0,3,2,4,3,6,10,3,2,2,3
ENST00000334398,3,4,3,0,7,5,4,4,4,6,10,8,11,9,14,10,7,9,10,11
ENST00000420940,0,1,0,2,1,1,2,2,0,0,0,0,0,0,2,0,5,0,1,0
ENST00000551739,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,2,1
ENST00000494322,0,1,0,0,3,1,0,0,1,7,3,2,4,6,7,7,5,9,13,8
ENST00000487698,0,0,0,0,0,0,0,0,0,0,26,21,24,20,31,26,12,94,24,80
ENST00000457853,0,0,1,0,2,0,0,1,2,1,17,3,8,18,37,11,12,5,5,11
ENST00000404136,0,0,0,0,5,0,0,0,5,3,30,29,24,30,33,29,29,22,29,16
ENST00000301727,22,26,31,22,24,29,12,13,18,16,11,18,16,12,17,9,12,13,11,14
ENST00000563607,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
ENST00000391828,0,0,0,0,0,0,0,0,0,1,0,3,1,2,6,2,5,0,2,4
ENST00000597917,0,0,3,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0
ENST00000612332,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,0,0,1,0,0
ENST00000378421,4,0,0,1,0,0,0,0,0,4,3,1,0,2,4,0,2,2,2,1
ENST00000503391,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,1
ENST00000361432,0,8,0,1,17,3,4,6,12,14,104,73,62,84,76,59,64,61,75,73
ENST00000518198,3,2,3,1,4,1,1,1,4,3,23,21,24,30,29,27,20,15,23,32
ENST00000224784,18,12,6,8,4,11,4,8,7,11,2,8,2,4,8,6,5,5,5,8
ENST00000367964,0,880,1281,56,370,0,17,122,149,449,54,179,104,204,14,75,56,122,124,8
ENST00000569282,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ENST00000402229,0,0,0,0,3,0,0,0,30,4,14,1,0,0,0,0,0,0,2,0
ENST00000477889,0,1,0,2,9,1,0,1,5,5,11,17,14,15,19,13,14,10,13,6
ENST00000543675,0,0,0,0,1,0,0,0,0,0,3,3,1,1,5,5,3,2,1,1
ENST00000399696,4,4,1,3,1,3,1,4,3,2,1,3,1,1,2,1,2,1,1,0
ENST00000470145,0,0,0,0,0,0,0,0,0,0,7,6,7,6,5,8,4,2,3,3
ENST00000246785,6,6,6,0,4,8,7,5,7,5,2,3,2,3,1,2,3,4,3,3
ENST00000454968,4,6,9,0,4,0,8,5,8,11,5,10,5,11,7,3,8,5,7,0
ENST00000636851,3,3,4,1,2,1,0,2,4,0,3,5,4,10,5,7,1,3,1,4
ENST00000520132,1,6,1,2,4,1,2,28,3,46,17,8,6,39,48,17,5,6,54,5
ENST00000406482,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
ENST00000520695,0,0,1,0,3,0,0,0,0,1,7,4,6,7,19,13,7,5,4,14
ENST00000608025,2,8,7,3,11,2,1,4,6,8,16,11,10,9,6,11,4,15,15,21
ENST00000510195,1,1,0,0,4,0,0,0,0,1,0,1,0,2,0,2,1,0,0,1
ENST00000357182,1,1,2,0,2,0,1,1,2,1,4,4,5,10,5,6,7,4,5,2
ENST00000526639,39,32,27,21,17,43,41,33,23,29,1,16,15,14,1,12,18,15,17,14
ENST00000471372,0,0,0,0,1,1,1,1,1,1,2,4,1,3,3,2,1,4,3,0
ENST00000352957,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
ENST00000569675,22,7,7,17,6,19,0,3,29,10,4,7,8,9,6,13,2,11,7,11
ENST00000393926,126,61,12,86,7,13,92,77,53,63,8,8,7,70,31,8,10,67,96,37
ENST00000551432,4,4,4,3,0,2,7,4,2,3,0,2,0,0,1,1,2,1,1,1
ENST00000344686,12,10,0,8,14,1,0,16,13,5,26,30,18,21,8,10,10,18,21,21
