"","SRR12650992","SRR12650993","SRR12650994","SRR12650995"
"ENSMUSG00000112412",12.7399963729765,6.55077354877227,20.2999821046155,0
"ENSMUSG00000128163",13.5362461462875,8.18846693596533,0,42.4625398833734
"ENSMUSG00000085664",83.6062261976582,36.0292545182475,91.3499194707696,63.6938098250601
"ENSMUSG00000097381",47.7749863986618,18.8334739527203,24.8110892389745,11.2400840867753
"ENSMUSG00000128544",3.18499909324412,17.1957805655272,0,16.235677014231
"ENSMUSG00000128645",9.55499727973237,29.4784809694752,14.6610981866667,36.2180487240538
"ENSMUSG00000021268",59.7187329983273,35.2104078246509,75.5610445005131,186.085836547725
"ENSMUSG00000111971",196.673694007825,225.182840739047,216.533142449232,239.788460517873
"ENSMUSG00000129524",31.8499909324412,35.2104078246509,27.066642806154,21.2312699416867
"ENSMUSG00000129725",10.3512470530434,9.8261603231584,10.1499910523077,7.49338939118354
"ENSMUSG00000113035",693.533552553907,759.889731657583,975.526917805132,1138.9951874599
"ENSMUSG00000130450",16.7212452395316,27.8407875822821,51.8777320451284,53.7026239701487
"ENSMUSG00000097451",100.32747143719,47.4931082285989,101.499910523077,154.863380751127
"ENSMUSG00000113918",14.3324959195985,9.00731362956187,87.9665891200004,69.9383009843797
"ENSMUSG00000131258",11.9437465996655,5.73192685517573,32.7055267241027,7.49338939118354
"ENSMUSG00000131266",91.5687239307685,99.8992966187771,47.3666249107694,71.1871992162437
"ENSMUSG00000113165",242.856180859864,299.697889856331,698.093829042054,479.576921035747
"ENSMUSG00000131361",39.8124886655515,20.4711673399133,72.1777141497439,83.6761815348829
"ENSMUSG00000131378",27.8687420658861,47.4931082285989,80.0721516348721,22.4801681735506
"ENSMUSG00000131443",19.1099945594647,13.9203937911411,12.4055446194872,9.99118585491139
"ENSMUSG00000131458",76.4399782378589,76.1527425044776,253.749776307693,189.832531243316
"ENSMUSG00000120898",31.0537411591302,8.18846693596533,48.4944016943592,38.7158451877816
"ENSMUSG00000131556",11.1474968263544,13.9203937911411,0,22.4801681735506
"ENSMUSG00000120754",246.041179953108,107.268916861146,195.105383561026,154.863380751127
"ENSMUSG00000120709",15.9249954662206,8.18846693596533,51.8777320451284,38.7158451877816
"ENSMUSG00000120035",6.36999818648824,13.9203937911411,47.3666249107694,49.955929274557
"ENSMUSG00000097488",242.856180859864,247.291701466153,237.960901337437,398.398535964592
"ENSMUSG00000132180",27.072492292575,23.7465541142995,16.9166517538462,34.9691504921899
"ENSMUSG00000132202",9.55499727973237,6.55077354877227,32.7055267241027,7.49338939118354
"ENSMUSG00000132379",114.659967356788,145.754711460183,60.8999463138464,62.4449115931962
"ENSMUSG00000132401",10.3512470530434,48.3119549221955,58.6443927466669,11.2400840867753
"ENSMUSG00000112852",30.2574913858192,34.3915611310544,84.5832587692311,57.4493186657405
"ENSMUSG00000112336",13.5362461462875,27.8407875822821,18.044428537436,36.2180487240538
"ENSMUSG00000035983",39.8124886655515,18.0146272591237,103.755464090257,74.9338939118354
"ENSMUSG00000072884",22.2949936527089,21.2900140335099,54.1332856123079,32.471354028462
"ENSMUSG00000112348",211.802439700734,131.015470975445,124.055446194872,292.242186256158
"ENSMUSG00000133203",42.2012379854846,15.5580871783341,6.76666070153849,2.49779646372785
"ENSMUSG00000133366",111.474968263544,97.4427565379875,265.027544143591,182.339141852133
"ENSMUSG00000133401",25.479992745953,0,0,29.9735575647342
"ENSMUSG00000133471",33.4424904790633,28.6596342758787,19.1722053210257,48.707031042693
"ENSMUSG00000121052",74.8474786912369,67.1454288749157,152.249865784616,137.378805505032
"ENSMUSG00000133537",3.98124886655515,29.4784809694752,49.6221784779489,21.2312699416867
"ENSMUSG00000087700",220.561187207155,332.451757600193,823.277052020516,1346.31229394931
"ENSMUSG00000134207",7.9624977331103,0.818846693596533,19.1722053210257,2.49779646372785
"ENSMUSG00000134226",35.0349900256853,14.7392404847376,10.1499910523077,29.9735575647342
"ENSMUSG00000134391",0.79624977331103,8.18846693596533,12.4055446194872,11.2400840867753
"ENSMUSG00000073000",0,16.3769338719307,38.3444106420514,0
"ENSMUSG00000134826",44.5899873054177,46.6742615350024,6.76666070153849,44.9603363471013
"ENSMUSG00000134982",0,13.1015470975445,14.6610981866667,26.2268628691424
"ENSMUSG00000113746",14.3324959195985,4.09423346798267,15.7888749702565,3.74669469559177
"ENSMUSG00000135296",48.5712361719729,25.3842475014925,54.1332856123079,19.9823717098228
"ENSMUSG00000083193",1.59249954662206,52.4061883901781,20.2999821046155,0
"ENSMUSG00000135756",14.3324959195985,12.282700403948,16.9166517538462,3.74669469559177
"ENSMUSG00000112489",0.79624977331103,13.1015470975445,11.2777678358975,3.74669469559177
"ENSMUSG00000136131",15.9249954662206,29.4784809694752,10.1499910523077,0
"ENSMUSG00000136186",0,4.09423346798267,47.3666249107694,23.7290664054146
"ENSMUSG00000113115",22.2949936527089,18.0146272591237,6.76666070153849,18.7334734779589
"ENSMUSG00000136346",0,11.4638537103515,0,22.4801681735506
"ENSMUSG00000111889",21.4987438793978,33.5727144374579,16.9166517538462,0
"ENSMUSG00000136899",9.55499727973237,13.1015470975445,31.577749940513,3.74669469559177
"ENSMUSG00000113268",15.9249954662206,4.9130801615792,49.6221784779489,26.2268628691424
"ENSMUSG00000137306",11.9437465996655,22.9277074207029,15.7888749702565,48.707031042693
"ENSMUSG00000137343",8.75874750642133,9.8261603231584,5.63888391794874,4.9955929274557
"ENSMUSG00000137381",0,12.282700403948,6.76666070153849,19.9823717098228
"ENSMUSG00000137750",100.32747143719,122.82700403948,12.4055446194872,77.4316903755633
"ENSMUSG00000071456",89.1799746108354,87.6165962148291,64.2832766646157,108.654146172161
"ENSMUSG00000113679",22.2949936527089,18.8334739527203,0,9.99118585491139
"ENSMUSG00000137892",11.1474968263544,9.8261603231584,13.533321403077,0
"ENSMUSG00000112276",46.1824868520398,70.4208156493019,49.6221784779489,109.903044404025
"ENSMUSG00000121137",365.478645949763,345.553304697737,345.099695778463,535.777341469623
"ENSMUSG00000113907",25.479992745953,39.3046412926336,6.76666070153849,12.4889823186392
"ENSMUSG00000096995",42.9974877587956,4.9130801615792,0,22.4801681735506
"ENSMUSG00000112971",24.6837429726419,22.9277074207029,86.8388123364106,137.378805505032
"ENSMUSG00000120673",42.2012379854846,53.2250350837747,45.1110713435899,24.9779646372785
"ENSMUSG00000113669",1246.92714500507,1053.85569465874,1020.63798914872,631.942505323145
"ENSMUSG00000138858",0,8.18846693596533,13.533321403077,0
"ENSMUSG00000113940",5.57374841317721,25.3842475014925,6.76666070153849,29.9735575647342
"ENSMUSG00000138976",36.6274895723074,11.4638537103515,13.533321403077,4.9955929274557
"ENSMUSG00000120100",0,13.1015470975445,11.2777678358975,0
"ENSMUSG00000120161",18.3137447861537,18.8334739527203,37.2166338584617,13.7378805505032
"ENSMUSG00000139309",6.36999818648824,5.73192685517573,25.9388660225642,24.9779646372785
"ENSMUSG00000139546",6.36999818648824,6.55077354877227,20.2999821046155,17.4845752460949
"ENSMUSG00000113488",15.1287456929096,0,11.2777678358975,6.24449115931962
"ENSMUSG00000139741",10.3512470530434,29.4784809694752,0,13.7378805505032
"ENSMUSG00000139834",19.1099945594647,13.1015470975445,7.89443748512824,2.49779646372785
"ENSMUSG00000139869",6.36999818648824,37.6669479054405,42.8555177764104,12.4889823186392
"ENSMUSG00000140046",3.18499909324412,0,15.7888749702565,34.9691504921899
"ENSMUSG00000120073",9.55499727973237,15.5580871783341,120.672115844103,122.392026722665
"ENSMUSG00000097061",52.552485038528,61.41350201974,106.011017657436,72.4360974481076
"ENSMUSG00000113209",60.5149827716383,25.3842475014925,22.555535671795,27.4757611010063
"ENSMUSG00000140893",10.3512470530434,34.3915611310544,15.7888749702565,24.9779646372785
"ENSMUSG00000141002",26.276242519264,31.9350210502648,85.7110355528209,11.2400840867753
"ENSMUSG00000141116",7.9624977331103,11.4638537103515,0,0
"ENSMUSG00000141122",9.55499727973237,10.6450070167549,22.555535671795,0
