"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Luc7l",0.791399911961916,4.69522309145411,3.59355287012741,0.00347366576159152,0.00915025554584529,-2.31090348718137,FALSE
"Erap1",0.658520771383059,5.43384220118052,3.67974448730618,0.00295624507932556,0.00804420429748452,-2.31133090069487,FALSE
"Rbm15b",0.830752123522528,4.60460619909025,3.57957159407369,0.00356591233530553,0.00934096224048601,-2.31296790327137,FALSE
"Ptpa",0.785219122847277,5.08587069710141,3.63906218487418,0.00318988793539482,0.00854911339469298,-2.31341950590581,FALSE
"Prkcb",-0.639733444838294,6.9030736955397,-3.78874241984152,0.00241264874091253,0.00681539192348172,-2.31815930430177,FALSE
"Wdr70",1.13043271939766,3.48596431280233,3.40278463156951,0.00497179407587932,0.0122608978443386,-2.31837379822092,TRUE
"Jam2",1.53931269804903,2.6625276396831,3.28337094883755,0.00622810706800788,0.0147215357016091,-2.3184716706311,TRUE
"Mphosph10",1.45065205639643,3.27728676579685,3.36087393153483,0.00538056190719324,0.0130834332089805,-2.31851448733775,TRUE
"Pgghg",-0.587067789257292,6.34195588379546,-3.75901488334131,0.00254989440080533,0.00714756664556505,-2.31939494731611,FALSE
"AU040320",0.826847976488138,4.84902060599392,3.60527142792608,0.00339822173371057,0.00899000458653591,-2.32294514493656,FALSE
"Specc1",0.790353334178349,4.5931791092404,3.57276533051455,0.00361171768672923,0.00943931443771115,-2.32577131887371,FALSE
"Klhdc10",-0.652118028524828,5.21858995312209,-3.66166152016869,0.0030578628276375,0.00828295218310231,-2.32838611541349,FALSE
"H4c9",1.37529704609176,2.95704334088236,3.31807185027014,0.00583312882063664,0.0139257029439251,-2.32992642991838,TRUE
"Sirt2",-0.563978138772156,6.57445970886623,-3.76560626732422,0.00251878949415255,0.00707276797234834,-2.33294988319474,FALSE
"Ap2b1",-0.569808082809716,7.73408597714141,-3.80357656503739,0.00234701385323741,0.00667951292276743,-2.33462359408137,FALSE
"Tmem214",0.836971534601932,4.53958557364678,3.55800527083222,0.00371311904811007,0.00965386817838173,-2.33627988525823,FALSE
"Elp5",0.958528029626288,3.82033618949853,3.44657580003877,0.00457819086802087,0.0114562173738401,-2.33817614082673,FALSE
"Nedd4l",-0.750783220242938,4.73984505639019,-3.60245658888106,0.00341619001591439,0.00903455210820334,-2.33840245430082,FALSE
"Slc39a1",0.692396879629448,6.08307161854226,3.72145365594008,0.00273479890411822,0.00755991404040973,-2.33884800298643,FALSE
"Trim25",0.520273463330106,8.60083135696185,3.82411331370149,0.00225915226827835,0.00648948586938125,-2.34000566615265,FALSE
"Ccdc86",0.958571814272195,3.95376196590287,3.46568677473939,0.0044164591452579,0.0111255464991481,-2.34104440737808,FALSE
"Pigl",-1.88315737979883,2.02805262496979,-3.21714784576972,0.00705824539132364,0.0162077146842448,-2.34408074254041,TRUE
"Pnn",0.772450860754982,4.73377757584658,3.58151157191155,0.00355296509715541,0.00931925271385026,-2.34442609434546,FALSE
"Hip1",-0.562221500259867,6.58073231621497,-3.75916573443994,0.00254917815550885,0.00714756664556505,-2.34577644307954,FALSE
"Sgsm3",1.15572903075351,3.28501341164775,3.35735631700128,0.00541637906296967,0.0131545332433993,-2.34886978459661,TRUE
"Mta2",0.572481653009765,6.0954898678799,3.71868246834385,0.00274897219307753,0.00759122455803254,-2.34932798776267,FALSE
"Atad3a",1.4033609757282,2.75590408420507,3.28219699263402,0.00624193113748227,0.0147215357016091,-2.34937294980735,TRUE
"Snrpe",1.39945921951753,2.63086929423025,3.26755987623351,0.00641691068754329,0.0150366975689357,-2.34965393717205,TRUE
"Mtmr3",-0.510897375146545,7.37062376744443,-3.78544587091496,0.00242748802428362,0.00684805719253189,-2.35089576860488,FALSE
"Elmo2",0.885976317117223,4.25581388602897,3.50815915454181,0.00407746143996542,0.0104182981538561,-2.35156735112367,FALSE
"ENSMUSG00000120223",-0.83465704458069,4.15274633417005,-3.51631948618646,0.00401541714019685,0.0103058508570981,-2.35779672812016,FALSE
"Dtx4",0.669716962374484,7.41915012300019,3.7815049457297,0.00244535060250562,0.00689316589853594,-2.35811611160009,FALSE
"ENSMUSG00000107894",0.789318005397544,4.4592688151585,3.53621563748763,0.00386813232825115,0.00997262604769874,-2.36068231025157,FALSE
"Rsl1d1",0.943209073957912,4.05544403848317,3.47092968317899,0.00437311085057256,0.011041618869415,-2.36101379150131,FALSE
"Sec11a",0.949568097779807,3.96827555806326,3.45676423514299,0.00449123490935041,0.0112703510899634,-2.36156802568985,FALSE
"Anxa4",0.819309743142858,4.38216350003529,3.52133350350713,0.00397777124553919,0.0102190654991373,-2.36513034485462,FALSE
"Csnk2a2",0.706265025213945,5.28542521655155,3.63159753531097,0.00323476178979161,0.00864331807559549,-2.37111164831809,FALSE
"ENSMUSG00000135598",-1.4967478232179,2.38495518247079,-3.24580328019142,0.00668617241789392,0.0155131610623989,-2.37164055287928,TRUE
"Clcc1",1.1857518864596,3.49637787340479,3.3713124655138,0.00527567719870443,0.0128745207870485,-2.37228953906829,TRUE
"ENSMUSG00000110864",-1.71155315609815,2.28968525380721,-3.22872637325774,0.00690546134122861,0.0159112012470705,-2.37616207781699,TRUE
"Elmod3",-1.23736048611342,4.56366189734792,-3.55490602943109,0.00373477604623198,0.00969756844201746,-2.37654794564876,TRUE
"Fchsd1",-0.826906818120612,4.19540032766912,-3.51231051594591,0.00404577724262807,0.0103671421976376,-2.37676073112415,FALSE
"Hmgxb4",1.22818937425993,3.24634007367703,3.33256394480606,0.00567574673573589,0.0136395235463764,-2.3789172920977,TRUE
